Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
660072,457699,0,652002,1752551686,1.0,-1,-1,,,,
660554,457699,1,599441,1751516781,1.0,2,4,-22.9565,90.5714,2.74785,-162.275
2341501,460534,1,655636,1737793469,1.0,4,0,4.98674,-156.624,36.4502,-37.8151
3950525,476124,1,568093,1765507699,1.0,5,0,18.6537,150.799,28.3004,-47.4036
5065269,477769,0,457699,1757418338,1.0,-1,-1,,,,
5961369,479204,0,599441,1766071102,1.0,-1,-1,,,,
5962138,479204,0,480375,1744334168,1.0,-1,-1,,,,
6653834,480268,1,581406,1763867929,1.0,5,0,21.5557,155.289,30.7566,-39.3742
6654038,480268,1,494508,1748488149,1.0,5,2,21.5557,155.289,-22.5174,90.2463
6718531,480375,0,634283,1739430777,1.0,-1,-1,,,,
6719165,480375,1,463126,1759882577,1.0,5,3,22.7442,157.989,-25.3485,-111.419
6720545,480375,1,494508,1763770107,1.0,5,2,22.7442,157.989,-22.5174,90.2463
15410294,494508,1,558277,1743784084,1.0,2,4,-22.5174,90.2463,0.408001,-168.24200000000002
15410854,494508,0,645393,1757521670,1.0,-1,-1,,,,
15412810,494508,1,568093,1760265034,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036
15414856,494508,1,645393,1750529000,1.0,2,3,-22.5174,90.2463,-25.0584,-110.84
15415386,494508,0,583251,1746500449,1.0,-1,-1,,,,
15415619,494508,0,648781,1753752437,1.0,-1,-1,,,,
15416756,494508,1,568093,1760260982,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036
15417758,494508,0,457699,1764138052,1.0,-1,-1,,,,
15418701,494508,0,568093,1752454497,1.0,-1,-1,,,,
15420105,494508,0,634283,1737880076,1.0,-1,-1,,,,
15421511,494508,1,645393,1750427177,1.0,2,3,-22.5174,90.2463,-25.0584,-110.84
19474084,500192,0,494508,1746497896,1.0,-1,-1,,,,
19474547,500192,0,463038,1738649925,1.0,-1,-1,,,,
19474975,500192,0,634283,1743418008,1.0,-1,-1,,,,
19475756,500192,1,634283,1761442684,1.0,5,3,17.9672,160.224,-25.1589,-111.022
24857006,508913,1,615605,1741851541,1.0,4,5,-0.809385,-167.229,21.7308,153.632
30080643,463126,0,546999,1743488265,1.0,-1,-1,,,,
30433649,516694,1,634283,1741754159,1.0,5,3,20.9029,154.839,-25.1589,-111.022
30433936,516694,1,598220,1736501074,1.0,5,3,20.9029,154.839,-24.2846,-110.75399999999999
41290592,534237,1,494508,1754184037,1.0,3,2,-25.6962,-110.963,-22.5174,90.2463
50875826,546999,1,536715,1737858873,1.0,3,5,-23.788,-110.90700000000001,20.9961,155.52700000000002
50876971,546999,0,551810,1761364022,1.0,-1,-1,,,,
50876989,546999,1,551810,1761441759,1.0,3,4,-23.788,-110.90700000000001,-1.6907400000000001,-162.996
50876995,546999,0,551810,1760903331,1.0,-1,-1,,,,
50876996,546999,0,551810,1760823227,1.0,-1,-1,,,,
50877001,546999,0,551810,1761912237,1.0,-1,-1,,,,
50877003,546999,1,581406,1749781145,1.0,3,0,-23.788,-110.90700000000001,30.7566,-39.3742
50877005,546999,1,572500,1749519817,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237
50877009,546999,1,572500,1749733185,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237
